id,name
1,特斯拉
2,西尔贝
3,赛麟
4,Rezvani
5,福特
6,林肯
7,凯迪拉克
8,克莱斯勒
9,别克
10,道奇
11,雪佛兰
12,GMC
13,Jeep
14,迈克
15,悍马
